epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,4796.63,0.84925,0.38333,0.96172,0.9841,0.92348,0.96195,0.69977,1.08241,0.44822,1.06899,0.005842,0.005842,0.005842
44,4908.8,0.83937,0.37612,0.95445,0.98603,0.92547,0.96176,0.70035,1.07702,0.43815,1.07067,0.005743,0.005743,0.005743
45,5013.44,0.83449,0.37667,0.95337,0.98378,0.92453,0.96223,0.69695,1.08336,0.44189,1.07027,0.005644,0.005644,0.005644
46,5126.25,0.82127,0.37351,0.94818,0.9848,0.92846,0.96365,0.70036,1.07641,0.43679,1.06914,0.005545,0.005545,0.005545
47,5237.61,0.81575,0.37093,0.94405,0.97912,0.92914,0.96547,0.70435,1.08152,0.43838,1.06999,0.005446,0.005446,0.005446
48,5353.7,0.80902,0.3682,0.94101,0.98098,0.92988,0.96414,0.70115,1.08568,0.4375,1.07421,0.005347,0.005347,0.005347
49,5466.47,0.80043,0.36299,0.94172,0.98565,0.9253,0.9661,0.70455,1.08812,0.43292,1.07334,0.005248,0.005248,0.005248
50,5582.87,0.78881,0.35823,0.93711,0.97919,0.93262,0.96548,0.70713,1.08279,0.43377,1.07181,0.005149,0.005149,0.005149
51,5696.99,0.78095,0.35703,0.93133,0.98671,0.92822,0.96488,0.70386,1.08121,0.43462,1.07265,0.00505,0.00505,0.00505
52,5808.38,0.77647,0.35589,0.92911,0.982,0.92988,0.9655,0.70513,1.08385,0.43428,1.07539,0.004951,0.004951,0.004951
53,5917.85,0.76388,0.35124,0.92327,0.9846,0.92713,0.96521,0.70389,1.08925,0.43936,1.08257,0.004852,0.004852,0.004852
54,6025.85,0.75506,0.34788,0.92161,0.98102,0.92988,0.96462,0.70099,1.0892,0.43318,1.08122,0.004753,0.004753,0.004753
55,6137,0.74878,0.34574,0.91692,0.98478,0.92717,0.965,0.70177,1.09255,0.4291,1.08309,0.004654,0.004654,0.004654
